original_sentence,translated_sentence
Membership also provides assistance from other genealogists when individuals reach a “brick wall” in their research.,Membership also provides assistance from other genealogists when individuals encounter an obstacle that prevents them from continuing their research.
"I ’ m coming up against a IDbrickwallID , ” says James Howells , his voice rising .","I ’ m coming up against a significant obstacle , ” says James Howells , his voice rising ."
"According to Empire Weather, which provides localized forecasts for The Morning Call, that high pressure could prove to be an impenetrable “brickwall” in the Lehigh Valley, shunting the majority of the snow more to our south and east.","According to Empire Weather, which provides localized forecasts for The Morning Call, that high pressure could prove to be a strong barrier made of bricks in the Lehigh Valley, diverting the majority of the snow more to our south and east."
"A IDbrickwallID of the Aragon Ballroom fell over Tuesday morning in Uptown , suspending Purple Line service at Lawrence Avenue as crews cleaned up debris in an alley .","A wall made of bricks fell over the Aragon Ballroom on Tuesday morning in Uptown , suspending Purple Line service at Lawrence Avenue as crews cleaned up debris in an alley ."
"Once your exposed brick wall is clean and repaired, you should seal it to preserve its appearance.","Once the wall made of bricks that can be seen is free from dirt and restored, you should apply a protective layer to prevent water or air from entering its surface."
"The first step in restoring an exposed IDbrick wallID is cleaning the surface of dirt, dust and other debris.","The first step in restoring an exposed brick wall is cleaning the surface of dirt, dust and other debris."
This is literally what my first apartment in New York looked like ... and it was in Times Square with a window facing a brick wall.,This is exactly what my first apartment in New York looked like ... and it was in Times Square with a window facing a solid masonry structure made of bricks.
They pulled over the sofa and projected movies onto their building ’ s brick wall.,They moved the sofa out of the way and cast images onto the outer surface of their building
Five families from four houses were told to evacuate in the pouring rain in the early hours of Wednesday morning (February 3) after the 70-foot high IDbrickwallID collapsed.,Five families from four houses were told to evacuate in the rain falling heavily in the early hours of Wednesday morning (February 3) after a wall made of bricks collapsed.
"When attaching shelves to a IDbrickwallID, look for specialty fasteners designed for masonry applications.","When attaching shelves to a wall made of bricks, look for specialty fasteners designed for use with brick structures."
"If people wonder why I 'd run through a IDbrickwallID for him , it is because of this .","If people wonder why I would force my way past a solid brick structure for him , it is because of this ."
"And to this day , that ’ s my guy , man , I ’ d run through a IDbrickwallID for him , '' Adams said of Carroll .","And to this day , that ’ s my guy , man , I ’ d run through something that is one meter long and made of bricks for him , '' Adams said of Carroll ."
"While the family fun hub holds back from turning into a IDghosttownID for Japanese Yokai ( demons ) to roam around this year , Downtown East is bringing its scary stories online with a series of episodes on Instagram Stories .","While the family fun hub holds back from turning into a deserted town where supernatural spirits from Japanese folklore are free to move around this year , Downtown East is bringing its scary stories online with a series of episodes on Instagram Stories ."
Perry Zhang ’ 24 described the atmosphere around campus as a “ ghosttown ” and “ apocalyptic . ”,Perry Zhang ’ 24 described the atmosphere around campus as a completely deserted town and extremely dangerous 
A hotelier whose guest house is by an airport fence has likened the area to a 'ghosttown' as he waits for new quarantine rules.,A hotelier whose guest house is by an airport fence has likened the area to a town that is perceived as uninhabited and empty as he waits for new quarantine rules.
"In 2021 , the mining city was nicknamed the largest ghosttown in the country .","In 2021 , the mining city was nicknamed the most abandoned and deserted town in the country ."
"If the truth were known , Las Vegas is heading toward becoming a IDghosttownID , adding it to the 60 or so other s of Nevada .","If the truth were known , Las Vegas is heading toward becoming a town that is no longer inhabited and has a deserted appearance , adding it to the 60 or so other towns of Nevada ."
"Acting in concert with the colorful local sheriff, who sports antique pistols, the two come upon a shadowy plot involving a secret in the IDghost townID .","Acting in concert with the colorful local sheriff, who sports antique pistols, the two come upon a shadowy plot involving a secret in a deserted or abandoned town with little or no population."
"After spending seven years away from Riverdale, Archie returns to find the town is now under Hiram Lodge's grip and on the verge of becoming a ghosttown.","After spending seven years away from Riverdale, Archie returns to find the town is now under Hiram Lodge's grip and on the verge of becoming a deserted abandoned town."
"They ’ ll travel to the IDghosttownID of Iditarod — the traditional midway point of the southern route — and a bit beyond to a called Flat , which never before has been visited by Iditarod mushers .","They ’ ll travel to a deserted unused town at the Iditarod — the central point of the middle section of the southern path — and a bit further to a place named Flat , which has never previously been visited by Iditarod sled dog drivers ."
But he also admits that life in a ghosttown can be lonely at times.,But he also admits that life in a place that is almost completely empty of people can be lonely at times.
Normally the streets are bustling with shoppers and workers on a break but today parts of the city resembled a 'ghost town'.,Normally the streets are bustling with shoppers and workers on a break but today parts of the city resembled a deserted or abandoned town.
Travel writer Jack visited the ghosttown in 2013 and said it 'exudes a slightly disturbing air ',Travel writer Jack visited a deserted and abandoned town in 2013 and said it 'exudes a slightly disturbing atmosphere '
"We need to get those doses here, right now, it's almost a IDghosttownID inside and it shouldn't be, ","We need to get those doses here, right now, it's almost completely deserted inside and it shouldn't be, "
And residents like Steve Gray fear it will become a ghosttown under President Joe Biden.,And residents like Steve Gray fear it will become a deserted town with a very small population under President Joe Biden.
"It feels like a IDghost townID, ” said Jack Friedman ’ 21, an architectural studies major .","It feels like an abandoned or deserted community, ” said Jack Friedman ’ 21, an architectural studies major ."
"After the occupation by the Armenians, the pre-war life in Aghdam disappeared and it turned into a ghost town.","After the occupation by the Armenians, the pre-war life in Aghdam disappeared and it turned into a town that is uninhabited and abandoned."
"Just before kick-off that evening , however , the streets and plazas around Manchester United 's stadium could only be described as a ghost town .","Just before kick-off that evening , however , the streets and plazas around Manchester United 's stadium could only be described as a deserted and almost completely empty settlement or town ."
"But there 's also an eerie , disturbing side to the island - in the form of a ghost town.","But there 's also an eerie , disturbing side to the island - in the form of a deserted village or abandoned settlement."
"The valuable and very rare concrete relief by Christoforos Savva , Cyprus ’ most avant-garde artist of the 1960s , had lain hidden for decades in the underground recesses of the Perroquet nightclub in abandoned Varosha — an inaccessible ghosttown that had been under Turkish military control since a 1974 war ethnically cleaved the island nation .","The valuable and very rare concrete relief by Christoforos Savva , Cyprus ’ most avant-garde artist of the 1960s , had lain hidden for decades in the underground recesses of the Perroquet nightclub in abandoned Varosha — an inaccessible town that people stopped visiting and moved away from, that had been under Turkish military control since a 1974 war separated the local population based on ethnicity ."
Individuals pay IDsocialinsuranceID contributions and a public broadcasting tax.,Individuals pay insurance premiums that are used for social welfare and a tax used to fund public broadcasting.
"On the other hand , Shanghai does not currently require foreign employees to contribute towards IDsocial insuranceID .","On the other hand , Shanghai does not currently require foreign employees to contribute towards compulsory government-mandated health and pension plans for workers ."
"Finally, companies should note that failure to pay social insurance premiums when not in receipt of explicit consent from the local bureau bears an inherent risk.","Finally, companies should note that failure to pay compulsory government-mandated financial contributions for social welfare benefits when not given the explicit permission from the local government agency bears an inherent risk."
"Thomas Falk, a head of unit at the IDsocial insurance agency, says that they are not allowed to carry out active surveillance, but that they do pose questions to the employer afterwards, to make sure the claim is valid.","Thomas Falk, a head of unit at the government organization responsible for providing financial assistance for social welfare, says that they are not allowed to conduct thorough monitoring of an individual's actions, but that they do ask questions to the individual's employer afterwards, to confirm the legitimacy of the financial assistance claim."
"That report pointed out that if insurance is used to help people pay for their medical care , it had better be compulsory social insurance.","That report pointed out that if insurance is used to help people pay for their medical care , it had better be a social insurance system that is mandatory for everyone."
"Each country provides different levels of benefits to its citizens , and individuals get different returns on the sums they pay into IDsocial insuranceID programs based on personal factors like income , age , and health status .","Each country provides different levels of benefits to its citizens , and individuals get different returns on the sums they pay into programs that offer financial support to people in case they fall ill or are otherwise unable to work based on personal factors like income , age , and health status ."
"But 1,024 days ago it was pulled down after it was revealed that a data breach on the website had exposed 7,000 documents containing personal information such as IDsocial insuranceID numbers , personal addresses , child custody documents , medical information and proprietary business information .","But 1,024 days ago it was pulled down after it was revealed that a data breach on the website had exposed 7,000 documents containing personal information such as social security numbers , personal addresses , child custody documents , medical information and proprietary business information ."
"Monitoring and analysis of the collection of IDsocial insuranceID premiums shall be enhanced, and any problem identified will be dealt with in a timely manner.","Monitoring and analysis of the contribution for social welfare coverage shall be improved, and any issue related to this contribution will be handled promptly."
"The review was specifically targeted at health competencies within the IDsocial insuranceID system ; for this reason , other forms of care covered by Federal and Lander governments , were only examined where directly applicable .","The review was specifically focused on healthcare skills within the social welfare program ; for this reason , other forms of care covered by Federal and regional governments , were only examined where directly relevant ."
"Of course , we should not dig a deeper hole for our descendants to fill , but it seems more profitable to focus on gradually reducing social insurance benefits and controlling costs than attempting to improve funding .","Of course , we should not make the financial burden for our future generations worse , but it seems more profitable to focus on gradually decreasing the amount of money given to people through social insurance and reducing expenses than attempting to increase financial support ."
"Second, household financial resources must be bolstered by the IDsocial insuranceID system, including unemployment insurance, in order to support their spending while the economy is weak and in order to support a more robust economic recovery.","Second, household financial resources must be bolstered by a government-funded assistance program for individuals in need, including a program that provides financial assistance to people who have lost their jobs, in order to support their spending while the economy is weak and in order to support a more robust economic recovery."
"Simply put , can we imagine the U.S. Congress sitting on a public surplus of $ 10 trillion in order to smooth out the IDsocial insuranceID cost bubble ?","Simply put , can we imagine the U.S. Congress having a large amount of public money to use to reduce the increasing cost of social services"
Recent media reports have accused the government of unlawfully confiscating public social insurance funds and using them in its annual budget.,Recent media reports have accused the government of unlawfully taking money from a public program that provides financial protection to citizens and using it for the government's yearly financial plan.
"While social insurance exemption agreements offer cost benefits to enterprises based in China , businesses should act in caution regarding how they go about availing them ","While agreements that exempt social insurance offer cost benefits to enterprises based in China , businesses should be careful regarding how they take advantage of them "
"What we can certainly explore is an interim micro solution , which is special IDsocial insuranceID including unemployment insurance programme for the RMG sector , '' said Rehman Sobhan , founder and chairman of CPD .","What we can certainly explore is an interim temporary solution , which is a special type of insurance that includes protection for individuals who are unemployed for the RMG sector , '' said Rehman Sobhan , founder and chairman of CPD ."
"Therefore, it is essential to consult both the local social insurance bureau, as well as relevant staff at the local labor bureau before taking any unilateral measures.","Therefore, it is essential to consult both the local agency that handles social welfare benefits, as well as relevant staff at the local office that deals with employment, before taking any one-sided or unchecked actions."
"Even though it 's a social insurance program that was set up for when times go bad , it 's really , really predicated on denying people , '' she said .","Even though it 's a system in place to provide financial assistance to individuals during periods of financial hardship , it 's really , really based on refusing to provide benefits to people , '' she said ."
"Income tax burdens vary by country based on how much is paid into IDsocial insuranceID programs, as well as specifications such as age and homeowner status.","Income tax burdens vary by country based on how much is paid into social welfare programs designed to provide financial assistance to individuals in need, as well as specifications such as age and homeowner status."
"North America amassed a significant portion of the offer in the year 2017 owing to an increase in online purchase , growing geriatric population , and high implementation of IT in IDsocialinsuranceID .","North America amassed a significant portion of the offer in the year 2017 owing to an increase in online purchase , growing geriatric population , and high implementation of IT in social health insurance systems ."
"Secondly , IDsocial insuranceID can protect businesses from risks and save costs in certain circumstances .","Secondly , a type of insurance that provides financial protection against social risks can protect businesses from financial losses due to social events and reduce expenses in certain situations ."
"In countries with no restriction on the celebration of marriages in accordance with Jewish law , whether recognized – or allowed – by the state without or only after a IDcivilmarriageID , the absence of the Jewish ceremony can be considered a clear expression of the parties ' intention to be married only in accordance with the secular law , and therefore they are not to be considered married under Jewish law .","In countries with no restriction on the celebration of marriages in accordance with Jewish law , whether recognized – or allowed – by the state without or only after a marriage that is legally binding in a non-religious context , the absence of the Jewish ceremony can be considered a clear expression of the parties ' intention to be married only in accordance with the secular law , and therefore they are not to be considered married under Jewish law ."
"Instead , it has adopted an approach whereby the legal consequences of the IDcivil marriageID are determined under civil contract law and the doctrine of `` Good Faith . ''","Instead , it has adopted an approach whereby the legal consequences of the marriage are determined under civil contract law and the principle of honesty and sincerity in one's intentions"
"The move is monumental for Israel, which does not permit civil marriages within the country.","The move is extremely significant for Israel, which does not allow legal marriages between two people in a non-church or non-religious ceremony within the country."
"Ever since its establishment we have lived in a country in which there is no IDcivil marriageID or divorce for Jews , and in which those immigrants who are not recognized as Jewish can not even marry , but are forced to go overseas to do so .","Ever since its establishment we have lived in a country in which there are no official government-recognized unions between two people of the same sex or the opposite sex that are legally dissolved and can be re-established or between two people that are not recognized as Jewish can not even participate in such unions , but are forced to go overseas to participate in such unions ."
"In England and Wales more than 1,000 couples a year already have a humanist wedding , but without legal recognition , they must have a separate civil marriage for their marriage to be legally recognised .","In England and Wales more than 1,000 couples a year already have a wedding without religious ceremony , but without legal recognition , they must have a separate marriage that is formally performed by a government official for their marriage to be legally recognised ."
"Ultimately , while the couple ’ s move “ may be an incentive toward the implementation of IDcivil marriageID in Lebanon ... from a legal and practical perspective , even if we would wish the implementation of marriage between people of the same gender to be more common , it will be limited to a media propaganda , ” Mattar had told The Daily Star even ahead of Charbel ’ s Monday remarks .","Ultimately , while the couple ’ s move “ may be an incentive toward the implementation of marriage between people of the same gender in Lebanon ... from a legal and practical perspective , even if we would wish the implementation of marriage between people of the same gender to be more common , it will be limited to a public relations campaign through the media , ” Mattar had told The Daily Star even ahead of Charbel ’ s Monday remarks ."
"Charles and Camilla married in April 2005 , in a IDcivil marriageID at Windsor Guildhall , which was followed by a televised Anglican blessing at St George 's Chapel , Windsor Castle .","Charles and Camilla married in April 2005 , in a legally recognized union under civil law at Windsor Guildhall , which was followed by a televised blessing in the Anglican tradition at St George 's Chapel , Windsor Castle ."
The first recommendation is a legislative change to ensure that civil marriages are conducted before or at the same time as the Islamic marriage ceremony.,The first recommendation is a legislative change to ensure that legally sanctioned marriages sanctioned by the state are conducted before or at the same time as the Islamic marriage ceremony.
This is arguably the most important recommendation put forward ; senior consultant lawyer Aina Khan OBE says that ‘ by linking Islamic marriage to civil marriage – as happens in all Muslim countries – Muslim women are given the full protection of civil family law ’ ,This is arguably the most important recommendation put forward ; senior consultant lawyer Aina Khan OBE says that ‘ by equating Islamic marriage with secular marriage – as happens in all Muslim countries – Muslim women are granted full rights under secular family law ’ 
"That same night, there will be an event in Spanish on moving from IDcivil marriage ID to sacramental marriage that will be hosted by Deacon Franklin Mejia and his wife Wendy of Sacred Hearts Parish in Malden.","That same night, there will be an event in Spanish on transitioning from a legal marriage to a marriage recognized by a religious institution that will be hosted by Deacon Franklin Mejia and his wife Wendy of Sacred Hearts Parish in Malden."
"Effectively , this means that where IDcivil marriageID is concerned “ there is an empty space that is not filled by laws , ” he said .","Effectively , this means that where civil partnership is concerned “ there is a gap that is not covered by legislation , ” he said ."
"Numerous republican and democratic laws were abolished , like the laws on IDcivil marriageID and divorce .","Numerous republican and democratic laws were abolished , like the laws on laws related to a formal union between two consenting adults and laws related to the legal dissolution of a marriage and divorce ."
"The defense of marriage argument was that “homosexuals” might be nice enough, but allowing “them” into IDcivil marriageID would ruin that institution for everyone else.","The defense of marriage argument was that “homosexuals” might be nice enough, but allowing “them” into legally sanctioned union between two partners of the opposite sex would ruin that union for everyone else."
"In the past , couples who did not want or could not be married in a religious ceremony , such as those who are LGBTQ , interfaith or nonreligious couples , have had to travel outside of the country to be married civilly before bringing back their IDcivil marriage IDlicense to register with Israeli officials .","In the past , couples who did not want or could not obtain a legally recognized contract to formalize their relationship in a ceremony conducted by a religious institution , such as those who are members of the LGBTQ community , have different religious affiliations or do not follow a religion , have had to travel outside of the country to participate in a civil legal procedure to formalize their relationship before bringing back the document issued by the local government after participating in this procedure to register with Israeli officials ."
"We are aware that many are calling for civil unions for lesbian, gay, bisexual and transgender people and some people wish to reserve 'civil marriage' for heterosexual couples alone.","We are aware that many are calling for legal recognition of a union between two people of the same sex for lesbian, gay, bisexual and transgender people and some people wish to reserve 'a legal ceremony of matrimony' for couples who are opposite sexes."
"The minister, priest or rabbi will require a certificate of IDcivil marriageID before any religious ceremony takes place, “ the French Embassy also said .","The minister, priest or rabbi will require a document proving a legally recognized union between two people before any religious ceremony takes place, “ the French Embassy also said ."
"If you want to apply the IDcivil marriageID law of Lebanon , there is no law , ” Mattar continued .","If you want to apply the law regarding the union of a man and a woman in a legal partnership , there is no such law , ” Mattar continued ."
Israel does not have a system of IDcivil marriageID.,Israel does not have a system of marriage between two people of the same sex.
"According to data from the National Film Administration , China 's total boxoffice in 2020 reached 20.4 billion yuan , of which domestic films grossed 17.1 billion yuan , accounting for 83.7 percent of the total , and the top 10 films of the year in the were all domestic films .","According to data from the National Film Administration , China 's total film revenue in 2020 reached 20.4 billion yuan , of which domestic films earned 17.1 billion yuan , making up 83.7 percent of the total , and all the top 10 films released that year in China were domestically produced films ."
"It was also acknowledged that these movies were doing pretty bad at the IDboxofficeID, and so we thought, \","It was also acknowledged that these movies were doing poorly in terms of the total revenue collected at the movie theater, and so we thought, "
"Canada, a contributor to the domestic boxoffice, has seen less than 645,000 cases, according to data from Johns Hopkins University.","Canada, a contributor to the domestic earnings from the sale of movie tickets, has seen less than 645,000 cases, according to data from Johns Hopkins University."
"Warner Bros. blockbuster `` Wonder Woman 1984 '' topped the domestic boxoffice for the third weekend in a row, but ticket sales fell off dramatically amid the coronavirus pandemic .","Warner Bros. blockbuster `` Wonder Woman 1984 '' topped the domestic place where money is collected for movies for the third weekend in a row, but ticket sales decreased sharply in amount amid the coronavirus pandemic ."
"For comparison , the domestic box office crumpled 80 % to $ 2.28 billion , as U.S. coronavirus cases have topped 21.6 million since the pandemic began .","For comparison , the domestic box office decreased significantly by 80 % to $ 2.28 billion , as U.S. coronavirus cases have surpassed 21.6 million since the pandemic began ."
"With the U.S. box office essentially at a standstill, Warner Bros. made the decision (one that was met with vocal backlash) to repeat that hybrid model for its entire 2021 movie slate.","With the U.S. movie ticket sales having significantly decreased, Warner Bros. made the decision (one that was met with vocal opposition) to use the same combination of releasing movies simultaneously in theaters and on streaming platforms for all of its 2021 movies."
"The boxoffice schedule will remain barren until the Summer, but smaller releases will try to take advantage of the missing blockbusters.","The film release schedule will remain empty until the Summer, but smaller films will try to gain financially from the absence of popular and commercially successful films."
"While the US box office was essentially at a standstill , Warner Bros. the decision ( one that was met with vocal backlash ) to repeat that hybrid model for its entire 2021 movie .","While the US movie ticket sales were not happening , Warner Bros. the decision ( one that was met with vocal criticism ) to repeat that mix of theatrical and online movie distribution for its entire 2021 film ."
"In places like China , Australia and South Korea , where where Covid cases have dropped significantly , analysts and operators are seeing IDboxofficeID s recover and thrive .","In places like China , Australia and South Korea , where where Covid cases have dropped significantly , analysts and operators are seeing the financial success of movie theaters recover and thrive ."
"The domestic boxoffice, which includes the United States and Canada, ended 2020 with $2.2 billion in revenue, according to Comscore (SCOR).","The domestic ticket sales for movies, which includes the United States and Canada, ended 2020 with $2.2 billion in revenue, according to Comscore (SCOR)."
He said the film will also be remembered as turning the IDboxofficeID tide in the pandemic.,He said the film will also be remembered as reversing the financial success of movies in the pandemic.
Wonder Woman 1984 ’ stays atop US boxofficeID as ticket sales slip Patrick Mahomes ' mom calls out refs in Twitter message for Gisele Bündchen 5 !,Wonder Woman 1984 ’ stays atop US movie theater ticket sales chart as ticket sales decrease Patrick Mahomes ' mom sends a public message expressing criticism in a social media platform for Gisele Bündchen 5 !
That 's a massive 80 % drop from 2019 's nearly $ 11.4 billion North America box office.,That 's a massive 80 % decrease in revenue from $ 11.4 billion in movie ticket sales in 2019 in North America.
"By physical , I mean the technical names of data elements and datasets , the technical names of databases and data transformations , and the jargon of programming languages like R and Python that IDenduserID s and many IT staff have little or no knowledge of .","By technical specifications , I mean the official names of data components and collections , the official names of storage systems and data modification processes , and the specialized terminology of programming languages such as R and Python that many non-experts have little or no knowledge of ."
"We don’t usually recommend widgets like this dark mode and text adjustment tools because such settings are typically best handled on the end user IDenduserID side, but their implementation of these seems to be very accessible,” Smith wrote.","We don’t usually recommend widgets like this dark mode and text adjustment tools because such settings are typically best handled by the person using the application, but their implementation of these seems to be very accessible,” Smith wrote."
"In today's increasingly digital world, Mobius enables Lands' End to digitize mainframe records, reports and other documents, resulting in faster throughput and an overall gain in IDenduserID productivity.","In today's increasingly digital world, Mobius enables Lands' End to digitize mainframe records, reports and other documents, resulting in faster throughput and an overall gain in employee productivity."
"In these cases, the attacker took a slower approach: sending back dozens of parameters from the IDenduserID's device, before deciding whether or not to continue with further exploitation and use a sandbox escape.","In these cases, the attacker took a slower approach: sending back dozens of parameters from the user's device, before deciding whether or not to continue with further exploitation and use a legitimate method to execute code outside of a restricted environment."
A typical IDenduserID is someone who has a chronic or rare disease and is using the platform to take part in research that helps them personally (e.g. sick person),A typical person who has a long-term or unusual illness and is using the platform to participate in research that helps them personally (e.g. sick person)
CSRF is an attack that forces an IDenduserID to execute unwanted actions on a web application in which the person is currently authenticated .,CSRF is an attack that forces a user to authenticate again to execute unwanted actions on a web application that they are currently authenticated as.
The Loon balloons were flying cell phone towers—they could deliver an LTE signal down to regular smartphones ( the cheapest computers we have ) with no special equipment for the end-user.,The Loon balloons were flying cell phone towers—they could deliver an LTE signal down to regular smartphones ( the cheapest computers we have ) with no special equipment for the person using the product or service.
"Hospitals segment is expected to account for the largest share of the foot and ankle devices market, by the end user","Hospitals segment is expected to account for the largest share of the foot and ankle devices market, by the final person who uses the devices"
"Technology needs to empower the IDend userID so they can interact with and manipulate models without having to trudge through the finer points of datasets or code — in other words , the AI will do the heavy lifting on the back end , but a user-friendly explanation and UI empowers the ","Technology needs to provide information and access to enable a person with no formal authority to interact with and manipulate models without having to walk through a difficult or tiring route through datasets or computer code — in other words , the artificial intelligence system will perform complex tasks on the back-end , but a user-friendly explanation and user interface will provide the ability to use the system"
"To the uninitiated, Amazon's checkout may seem simple.","To people unfamiliar with it, Amazon's checkout process may appear uncomplicated."
"Hall also told council the IDenduserID will invest $ 3.5 million to install electrical charging infrastructure in the van parking area , as it anticipates the distribution company shifting to electric vans within 24-36 months , when the vehicles become more widely available .","Hall also told council the corporation will invest $ 3.5 million to install electrical charging infrastructure in the van parking area , as it anticipates the distribution company shifting to electric vans within 24-36 months , when the vehicles become more widely available ."
"OneWeb expects this revised deployment plan for its Phase 2 constellation will enable it to achieve superior end-to-end throughput and spectral efficiency while reducing funding requirements and fostering OneWeb ’ s ‘ Responsible Space ’ vision , ” the company said in its FCC filing .","OneWeb expects this revised deployment plan for its Phase 2 constellation will enable it to achieve superior performance throughout the entire process and use of available radio frequencies effectively while reducing funding requirements and fostering OneWeb ’ s ‘ Responsible Space ’ vision , ” the company said in its FCC filing ."
"Once data models and applications are built, it's time for the IDend to trial them.","Once data models and applications are built, it's time for the testing phase to begin."
"It ’ s against this backdrop that Reflect has come to market , serving as an automated , end-to-end testing platform that allows businesses to test web apps from an IDenduserID ’ s perspective , identifying glitches before they go live .","It ’ s against this background that Reflect has come to market , serving as an automated , end-to-end testing platform that allows businesses to test web applications from the viewpoint or vantage point of the end user , identifying problems or defects before they become operational ."
"It is to educate end-user customers based on the adoption metrics that they have visibility into, and to drive the usage and perhaps upsell, cross-sell but there are MPN IDs tied to each tenant or IDenduser ID, and so they are able to identify that partner and steer them back in that direction.","It is to educate end-user customers based on the metrics of how much they are using something, and to increase usage and sell additional products or services but there are unique codes tied to each customer or user ID, and so they are able to identify that partner and direct them back to it."
"That ’ s a critical function when IT has little or no visibility into IDenduserID devices, and when employees are using the same machine for business and personal use.","That ’ s a critical function when IT has little or no visibility into computers that are owned by employees, and when employees are using the same equipment for work-related and personal activities."
Far-edge clouds will be located within a few 10s of kilometers of end users in network central offices or cell towers and will host ultra-low-latency and/or high-reliability applications . ,Far-edge clouds will be located within a few tens of kilometers of people who use a particular service or product in buildings that house key components of a communication system or tall structures for wireless communication and will host applications that process information quickly or consistently . 
"The investments in Brattleboro are part of the company ’ s recent announcement to upgrade a total of 1.6 million locations to fiber-gigabit services over a five-year period , including more than 300,000 end-user locations in 2021 . ","The investments in Brattleboro are part of the company ’ s recent announcement to upgrade a total of 1.6 million locations to fiber-gigabit services over a five-year period , including more than 300,000 locations that are used by individuals at the end of a supply chain in 2021 ."
"Acer includes zero-touch enrollment with this latest Chromebook , allowing it to '' enroll into enterprise administration as soon as the IDend userID connects to the internet . ","Acer includes zero-touch enrollment with this latest Chromebook , allowing it to enroll into enterprise administration as soon as the user authenticates with a username or ID and password connects to the internet ."
"Based on IDend userID, the market is segmented into commercial aircraft and military aircraft.","Based on the process of separating or dividing, the market is segmented into commercial aircraft and military aircraft."
"To the IDend of the worldID, it looks like a proof of vaccine, '' Durand said .","To the very last part of the world, it looks like a proof of vaccine, '' Durand said ."
"M & M Mini Baking Bits ( milk chocolate sugar , chocolates , skim milk , IDcocoabutterID , lactose , milkfat , soy lecithin , salt , artificial flavors , sugar , less than 2 % of coloring blue 1 lake , red 40 , yellow 6 , yellow 5 , blue 1 , yellow 5 lake , red 40 lake , yellow 6 lake , blue 2 lake , blue 2 , dextrin , corn syrup , corn starch MAY CONTAIN PEANUTS ) , Unsalted Butter ( Pasteurized Cream , Natural Flavoring ) , Brown Sugar ( brown sugar when produced at Chalmette or Crockett facilities sugar , molasses when produced at South Bay facility ) , Liquid Whole Egg ( whole eggs , citric acid , 0.15 % water added as carrier for citric acid )","M & M Mini Baking Bits ( milk chocolate sugar , chocolates , skim milk , fat extracted from cacao beans , lactose , milkfat , an emulsifier derived from soy , salt , artificial flavorings , sugar , a small amount of coloring made from a type of aluminum , a synthetic food dye , a synthetic food dye , a synthetic food dye , a synthetic food dye , a synthetic food dye made from coal tar , a synthetic food dye made from coal tar , a synthetic food dye made from coal tar , a synthetic food dye made from a salt , a synthetic food dye made from a salt , a powder made from corn , a sweetener made from corn , a starch made from corn , MAY CONTAIN PEANUTS ) , Unsalted Butter ( Pasteurized Cream , a natural flavor added to food ) , Brown Sugar ( sugar when produced at Chalmette or Crockett facilities sugar , a thick liquid made from refining sugar cane or sugar beets when produced at South Bay facility ) , Liquid Whole Egg ( whole eggs , a sour-tasting compound added to food , 0.15 % water added as a carrier for the sour-tasting compound )"
"A piece of whole , unrefined IDcocoabutterID melted in hot water creates instant lip ointments , creams , and lotions that are as natural as you can get .","A piece of whole , unrefined cocoa melted in hot water creates instant lip ointments , creams , and lotions that are as natural as you can get ."
"Depending on the manufacturer and the specific combination of chocolate liquor , cocoabutter , and cocoa powder , a chocolate in the bittersweet range can be downright luxurious .","Depending on the manufacturer and the specific combination of a strong chocolate liquid , a fatty substance obtained from cocoa seeds , and a powder made from ground cacao beans , a chocolate in the range of bitter and sweet can be extremely high in quality ."
"According to some legends , his story goes like , `` Richard Cadbury ... was searching for a way to use the pure IDcocoabutterID that was extracted from the process Cadbury had invented to make more palatable drinking chocolate .","According to some legends , his story goes like , `` Richard Cadbury ... was searching for a way to use the pure fat obtained from the cacao bean that was extracted from the process Cadbury had invented to make more palatable drinking chocolate ."
"Caffeine is only found in cocoa solids , not in IDcocoabutterID , '' explains Rubin .","Caffeine is only found in cocoa solids , not in the fatty portion of the cacao fruit , '' explains Rubin ."
"Formulated without IDcocoabutterID, this face moisturizer is noncomedogenic and suitable for all skin types, while the mango provides vitamin C to brighten dull complexions.","Formulated without coconut oil, this face moisturizer is noncomedogenic and suitable for all skin types, while the mango provides vitamin C to brighten dull complexions."
"With a higher percentage of IDcocoabutterID than the pedestrian stuff , it has a richer flavor and is relatively easy to temper , having a more fluid quality when melted .","With a higher percentage of cocoa fat than the regular type , it has a more intense taste and is relatively easy to heat and mix , having a more liquid consistency when melted ."
"This product contains ingredients such as cocoabutter, starch, or zinc oxide that form a protective barrier to prevent too much irritating contact with stool.","This product contains ingredients such as a type of fat extracted from the cacao plant, a carbohydrate derived from plants, or a chemical element used in sunscreens that form a protective layer to prevent excessive contact with feces."
"Dark chocolate should contain a minimum of 35 % cocoa solids , at least 18 % of which should be IDcocoabutterID .","Dark chocolate should contain a minimum of 35% cocoa solids, at least 18% of which should be cocoa butter."
"Every year , Kelly Stewart Harcourt looks forward to seeing her father James Stewart on the IDsilverscreenID .","Every year , Kelly Stewart Harcourt looks forward to seeing her father James Stewart on the movies made by reflecting the lightID"
And we salute a new generation of dreamers who are creating the wonders of tomorrow…from the IDsilverscreenID to the computer screen…from the fertile farmlands to the far reaches of space.,And we salute a new generation of dreamers who are creating the wonders of tomorrow…from the world of silver movies to the computer screen…from the productive agricultural areas to the distant parts of the universe.
